CellName;Cell_ID;Longitude_Sector;Latitude_Sector;CoverageType;SiteID;Azimuth;HorizBeamwidth;VertBeamwidth;Technology;LAC;eNodeBID;mcc;mnc;Downtilt;Electrical_DownTilt;BSC_ID;RF_Solution;expected_cell_range;Antenna_id
MED_0035_C04_409_f4;11;11.1108;33.50319;outdoor;6036;340;;;4G;55603;6036;605;1;;;;macro;1403;1
MED_0038_C01_409_h1;4;11.07253;33.59106;outdoor;6039;60;;;4G;55603;6039;605;1;;;;macro;844;1
MED_0038_C01_409_h2;5;11.07253;33.59106;outdoor;6039;140;;;4G;55603;6039;605;1;;;;macro;684;1
MED_0038_C01_409_h3;6;11.07253;33.59106;outdoor;6039;320;;;4G;55603;6039;605;1;;;;macro;552;1
MED_0041_C01_409_l1;7;10.98160833;33.82838889;outdoor;6042;70;;;4G;55601;6042;605;1;;;;macro;695;1
MED_0041_C01_409_l2;8;10.98160833;33.82838889;outdoor;6042;190;;;4G;55601;6042;605;1;;;;macro;1088;1
MED_0041_C01_409_l3;9;10.98160833;33.82838889;outdoor;6042;330;;;4G;55601;6042;605;1;;;;macro;939;1
MED_0042_C01_409_l1;7;10.85822222;33.88330556;outdoor;6043;100;;;4G;55601;6043;605;1;;;;macro;313;1
MED_0042_C01_409_l2;8;10.85822222;33.88330556;outdoor;6043;190;;;4G;55601;6043;605;1;;;;macro;530;1
MED_0042_C01_409_l3;9;10.85822222;33.88330556;outdoor;6043;340;;;4G;55601;6043;605;1;;;;macro;808;1
MED_0044_C02_409_l1;7;10.84218056;33.87615;outdoor;6045;30;;;4G;55601;6045;605;1;;;;macro;537;1
MED_0044_C02_409_l2;8;10.84218056;33.87615;outdoor;6045;180;;;4G;55601;6045;605;1;;;;macro;687;1
MED_0044_C02_409_l3;9;10.84218056;33.87615;outdoor;6045;290;;;4G;55601;6045;605;1;;;;macro;1272;1
MED_0045_C01_409_l1;7;10.85219444;33.86980556;outdoor;6046;40;;;4G;55601;6046;605;1;;;;macro;511;1
MED_0045_C01_409_l2;8;10.85219444;33.86980556;outdoor;6046;210;;;4G;55601;6046;605;1;;;;macro;1267;1
MED_0045_C01_409_l3;9;10.85219444;33.86980556;outdoor;6046;300;;;4G;55601;6046;605;1;;;;macro;900;1
MED_0047_C01_409_l1;7;10.98802778;33.80677778;outdoor;6048;60;;;4G;55601;6048;605;1;;;;macro;925;1
